"Name","Color","Rarity","# GIH","GIH WR"
"Mercurial Spelldancer","U","R","7935","52.8%"
"Mesmerizing Dose","U","C","60449","53.4%"
"Migloz, Maze Crusher","RG","R","11969","66.5%"
"Mindsplice Apparatus","U","R","242","36.0%"
"Minor Misstep","U","U","28",""
"Mirran Bardiche","W","C","27608","53.4%"
"Mirran Safehouse","","R","9",""
"Mirrex","","R","7552","55.0%"
"Molten Rebuke","R","C","27260","53.5%"
"Mondrak, Glory Dominus","W","M","4223","54.4%"
"Monument to Perfection","","R","198",""
"Myr Convert","","U","34460","53.3%"
"Myr Custodian","","C","5023","47.8%"
"Myr Kinsmith","","C","3678","47.8%"
"Nahiri's Sacrifice","R","U","4735","47.2%"
"Nahiri, the Unforgiving","WR","M","2116","50.7%"
"Necrogen Communion","B","U","8340","50.8%"
"Necrogen Rotpriest","BG","U","15009","53.5%"
"Necrosquito","B","U","12448","51.1%"
"Nimraiser Paladin","B","U","20126","53.7%"
"Nissa, Ascended Animist","G","M","5000","66.8%"
"Norn's Wellspring","W","R","2738","49.2%"
"Noxious Assault","G","U","4793","46.8%"
"Offer Immortality","B","C","24281","52.7%"
"Oil-Gorger Troll","G","C","66317","55.3%"
"Orthodoxy Enforcer","W","C","23174","51.1%"
"Ossification","W","U","32231","59.2%"
"Ovika, Enigma Goliath","UR","R","5738","53.2%"
"Oxidda Finisher","R","U","9237","55.2%"
"Paladin of Predation","G","U","6176","49.9%"
"Pestilent Syphoner","B","C","53274","53.0%"
"Phyrexian Arena","B","R","4430","47.0%"
"Phyrexian Atlas","","C","11074","46.4%"
"Phyrexian Obliterator","B","M","2322","50.9%"
"Phyrexian Vindicator","W","M","3109","58.2%"
"Plague Nurse","G","C","24933","50.7%"
"Planar Disruption","W","C","86988","57.3%"
"Plated Onslaught","W","U","12639","54.6%"
"Porcelain Zealot","W","U","22720","55.5%"
"Predation Steward","G","C","74589","54.8%"
"Prologue to Phyresis","U","C","26436","48.7%"
"Prophetic Prism","","C","39554","51.1%"
"Prosthetic Injector","","U","16232","50.0%"
"Quicksilver Fisher","U","C","17486","51.5%"
"Ravenous Necrotitan","B","U","12797","50.8%"
"Razorverge Thicket","","R","3168","51.2%"
"Rebel Salvo","R","U","43471","60.0%"
"Red Sun's Twilight","R","R","1645","52.0%"
"Reject Imperfection","U","U","6093","50.5%"
"Resistance Reunited","W","U","9429","52.7%"
"Resistance Skywarden","R","U","25202","57.3%"
"Ria Ivor, Bane of Bladehold","WB","R","5798","56.4%"
"Ribskiff","","U","15501","54.0%"
